id_edar,nombre_edar,punto_vertido,volumen_anual_maximo_m3,zona_abaqua,latitud_vertido,latitud_edar,longitud_vertido,longitud_edar,geometry_pg
661,CIUTADELLA SUD,EMISARI LITORAL I REUTILITZACIÓ REG,3386240,ABAQUA / Menorca 2,39.977894,39.968976999999995,3.8296539999999997,3.853331,0101000020E61000004D9200349FD30E40C3F4337007FC4340
662,COLONIA DE SANT JORDI,TERRENY I REUTILITZACIÓ REG,479846,ABAQUA / Mallorca 1,39.317229999999995,39.317436,3.0100499999999997,3.009461,0101000020E6100000EB48F64960130840C5B329BEA1A84340
663,COLONIA SANT PERE,POUS INFILTRACIO,92807,ABAQUA / Mallorca 2,39.73211,39.73202,3.2644699999999998,3.26427,0101000020E61000007953FE96391D0A402FB5D2D4B2DD4340
664,CONSELL,TORRENT I REUTILITZACIÓ REG,214101,ABAQUA / Mallorca 5,39.670367999999996,39.670238,2.824519,2.824715,0101000020E61000007D2A5E2104990640C68DA95BCAD54340
665,COSTITX,LLACUNA EVAPORACIÓ INFILTRACIO + TORRENT,25586,ABAQUA / Mallorca 4,39.667155,39.667097,2.9448969999999997,2.945216,0101000020E61000009040EE67CD8F07401405396F63D54340
411,ALAIOR,TORRENT,403372,ABAQUA / Menorca 1,39.924731,39.926829,4.127130999999999,4.130675,0101000020E610000085B5D1AACF851040F05C2755A2F64340
412,ALARO,TORRENT I REUTILITZACIÓ REG,259066,ABAQUA / Mallorca 5,39.688658,39.68824,2.808131,2.80768,0101000020E6100000DD6B8FEE2076064018F88E3F18D84340
413,ALCUDIA,EMISARI LITORAL I REUTILITZACIÓ REG,4886273,MUNICIPAL,39.83489,39.836672,3.13327,3.1010429999999998,0101000020E6100000E856EFA1EFCE0840DF4A6C1118EB4340
414,ALGAIDA-MONTUIRI,TORRENT I REUTILITZACIÓ REG,255787,ABAQUA / Mallorca 4,39.57336,39.573516999999995,2.9514099999999996,2.950857,0101000020E6100000F9B531EA5A9B07408E64490169C94340
415,ANDRATX,EMISARI LITORAL I REUTILITZACIÓ REG,706134,ABAQUA / Mallorca 6,39.534346,39.565585999999996,2.3764849999999997,2.4065469999999998,0101000020E610000091A8B4B69B4003406AF93C1F65C84340
416,ARTA,TORRENT I REUTILITZACIÓ REG,505567,ABAQUA / Mallorca 2,39.697412,39.698034,3.3585089999999997,3.358886,0101000020E6100000E49D779FFFDE0A40E724962D59D94340
641,BANYALBUFAR,TERRENY,25167,ABAQUA / Mallorca 6,39.690452,39.690259999999995,2.513242,2.51362,0101000020E610000055497FCDE41B0440EEB68C705AD84340
642,BENDINAT,EMISARI LITORAL I REUTILITZACIÓ REG,776225,CALVIÀ 2000,39.5245,39.538121,2.57932,2.5842359999999998,0101000020E6100000F36182EC83AC0440934E1D26E1C44340
643,BINISSALEM,LLACUNA EVAPORACIÓ INFILTRACIO + TERRENY,353398,ABAQUA / Mallorca 5,39.68438,39.682423,2.866789,2.868702,0101000020E6100000F3C6CC081AF3064086B006A359D74340
644,CALA DOR,EMISARI LITORAL,1284753,ABAQUA / Mallorca 1,39.3545,39.372405,3.22781,3.214477,0101000020E610000005F794B73FB70940D03D8DF7AAAF4340
645,CALA EN PORTER,EMISARI LITORAL,100232,ABAQUA / Menorca 1,39.866620999999995,39.883243,4.13097,4.144289,0101000020E6100000F02CE97EC093104042EE481B0EF14340
646,CALA FERRERA,EMISARI LITORAL I REUTILITZACIÓ REG,406008,ABAQUA / Mallorca 1,39.3714,39.391033,3.2446099999999998,3.225791,0101000020E610000082F214836BCE094028D58A5E0DB24340
647,CALA GALDANA,TORRENT,290683,ABAQUA / Menorca 2,39.940165,39.944195,3.961905,3.956542,0101000020E6100000B3CAE97DFFA60F40DB82B961DBF84340
648,CALA LLONGA,TORRENT I REUTILITZACIÓ REG,176891,ABAQUA / Eivissa 2,38.95601,38.956036999999995,1.50928,1.5071029999999999,0101000020E610000031F51509181DF83FAE589F6B5F7A4340
649,CALA SANT VICENT,POUS INFILTRACIO,43471,ABAQUA / Eivissa 2,39.07881,39.078731,1.59087,1.5910119999999999,0101000020E61000008C1FB8FFC874F93F45127EDB138A4340
650,CALA TARIDA,EMISARI LITORAL I REUTILITZACIÓ REG,107323,ABAQUA / Eivissa 1,38.9435,38.94779,1.22143,1.2347299999999999,0101000020E61000006040AB3E74C1F33F521BC42E51794340
651,CALES DE MALLORCA,EMISARI LITORAL,470846,ABAQUA / Mallorca 2,39.465413,39.475377,3.287366,3.269929,0101000020E6100000A8091B89D0280A408A044D27D9BC4340
652,CALES DE MANACOR,POUS INFILTRACIO,519074,ABAQUA / Mallorca 2,39.511559999999996,39.511224999999996,3.302438,3.302718,0101000020E610000017DD256AF76B0A40372D1ED26FC14340
653,CALVIA,TORRENT I REUTILITZACIÓ REG,148665,CALVIÀ 2000,39.5576,39.555831999999995,2.51036,2.509233,0101000020E6100000105145C0E8120440ECC2C08025C74340
654,CAMP DE MAR,EMISARI LITORAL I REUTILITZACIÓ REG,140553,ABAQUA / Mallorca 6,39.535734999999995,39.548237,2.420648,2.42786,0101000020E6100000FD5B23DD416C0340C2D145A12CC64340
655,CAMPANET,TERRENY,228199,ABAQUA / Mallorca 5,39.772982,39.769670999999995,2.987336,2.970615,0101000020E610000073D613CCD1C307407F674D9484E24340
656,CAMPOS,LLACUNA EVAPORACIÓ INFILTRACIO + TERRENY,332526,ABAQUA / Mallorca 1,39.394239999999996,39.394509,3.02752,3.027741,0101000020E61000002643F045D0380840246D58457FB24340
657,CANYAMEL,EMISARI LITORAL I REUTILITZACIÓ REG,198788,ABAQUA / Mallorca 2,39.652969999999996,39.661350999999996,3.45038,3.434722,0101000020E6100000F5B527874F7A0B4080D14826A7D44340
658,CAPDEPERA,EMISARI LITORAL I REUTILITZACIÓ REG,1427679,ABAQUA / Mallorca 2,39.699658,39.708996,3.4671239999999997,3.4481189999999997,0101000020E610000054A2086ABF950B40D8D08261C0DA4340
659,CAS CONCOS,TORRENT,19356,ABAQUA / Mallorca 7,39.425379,39.415875,3.1311229999999997,3.1330839999999998,0101000020E6100000F9702F588E100940501F58643BB54340
