id_infiltracion_epoca_material,cod_masa,epoca,material,infiltracion_lluvia_porcentaje,area_m2
328,1815M2,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0.05,4443
329,1815M2,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.15,1788698
330,1815M2,Miocè mitjà (Langhiense),Calcarenites bioclàstiques,0,5304842
331,1815M2,Miocè mitjà (Serravalià),Llims i margues grises,0,16879798
332,1815M2,Miocè superior (Tortonià-Messinià),"Calcàries oolítiques, estromatolítiques i arrecifals, i calcarenites",0.15,6068639
333,1815M2,Oligocè,"Conglomerats, calcàries i argiles",0,27790363
334,1815M2,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0,4597022
335,1815M2,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.22,198980
336,1815M2,Triàsic superior - Juràssic inferior,Dolomies triturades amb calcàries a sostre,0.2,3773537
337,1815M3,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.15,1359206
338,1815M3,Eocè (Bartonià),"Calcàries bioclàstiques, margues i calcàries",0.15,5656564
339,1815M3,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0.05,19245168
340,1815M3,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.15,2092574
341,1815M3,Miocè mitjà (Langhiense),Calcarenites bioclàstiques,0,373522
342,1815M3,Miocè mitjà (Serravalià),Llims i margues grises,0,1029242
343,1815M3,Miocè superior (Tortonià-Messinià),"Calcàries oolítiques, estromatolítiques i arrecifals, i calcarenites",0.15,2884335
344,1815M3,Oligocè,"Conglomerats, calcàries i argiles",0,5563105
345,1815M3,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0,1955288
346,1815M3,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.22,2666881
347,1815M3,Triàsic superior - Juràssic inferior,Dolomies triturades amb calcàries a sostre,0.2,3059695
348,1815M4,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.15,3454273
349,1815M4,Eocè (Bartonià),"Calcàries bioclàstiques, margues i calcàries",0,1778458
350,1815M4,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0.05,12909056
351,1815M4,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.15,1905227
352,1815M4,Miocè mitjà (Serravalià),Llims i margues grises,0,28960541
353,1815M4,Miocè superior (Tortonià-Messinià),"Calcàries oolítiques, estromatolítiques i arrecifals, i calcarenites",0.18,21446605
354,1815M4,Oligocè,"Conglomerats, calcàries i argiles",0,19991589
355,1815M4,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0.15,110647
356,1815M4,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.3,4008138
357,1815M4,Triàsic superior - Juràssic inferior,Dolomies triturades amb calcàries a sostre,0.01,60327032
358,1816M1,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0.05,6435990
359,1816M1,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.15,1670116
360,1816M1,Miocè mitjà (Serravalià),Llims i margues grises,0,3132225
361,1816M1,Miocè superior (Tortonià-Messinià),"Calcàries oolítiques, estromatolítiques i arrecifals, i calcarenites",0.15,6032900
362,1816M1,Oligocè,"Conglomerats, calcàries i argiles",0,2730107
363,1816M1,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.2,17824996
364,1816M1,Triàsic superior - Juràssic inferior,Dolomies triturades amb calcàries a sostre,0,17725
365,1816M2,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0.18,41395595
366,1816M2,Miocè mitjà (Serravalià),Llims i margues grises,0,3069827
367,1816M2,Miocè superior (Tortonià-Messinià),"Calcàries oolítiques, estromatolítiques i arrecifals, i calcarenites",0,1705305
368,1816M2,Pliocè superior,Calcarenites biclàstiques groguenques,0.15,52174496
369,1816M2,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.18,35462476
370,1817M1,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.27,27022395
371,1817M1,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0,1173059
372,1817M1,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0,13659590
373,1817M1,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0,7764493
374,1817M1,Triàsic superior - Juràssic inferior,Dolomies triturades amb calcàries a sostre,0.15,9654412
375,1817M2,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0,124856
376,1817M2,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0.25,406697
377,1817M2,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.35,8453397
378,1817M2,Miocè superior (Tortonià-Messinià),"Calcàries oolítiques, estromatolítiques i arrecifals, i calcarenites",0,8230981
379,1817M2,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0,4679158
380,1817M2,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0,2206175
