id_infiltracion_epoca_material,cod_masa,epoca,material,infiltracion_lluvia_porcentaje,area_m2
1,1801M1,Juràssic Inferior,Dolomies massives i bretxes,0.3,4150001
2,1801M1,Juràssic mitjà,Margocalcàries,0,1565762
3,1801M1,Oligocè,"Conglomerats, calcàries i argiles",0.05,687044
4,1801M1,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.15,962067
5,1801M1,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0.1,769780
6,1801M1,Triàsic mitjà-superior (Muschelkalk),Calcàries micrítiques i dolomies laminades,0.1,913415
7,1801M2,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0,1392167
8,1801M2,Eocè (Bartonià),"Calcàries bioclàstiques, margues i calcàries",0.15,5024
9,1801M2,Juràssic Inferior,Dolomies massives i bretxes,0.25,3258238
10,1801M2,Juràssic mitjà,Margocalcàries,0,556970
11,1801M2,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0,4706049
12,1801M2,Oligocè,"Conglomerats, calcàries i argiles",0.05,569476
13,1801M2,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0.15,184756
14,1801M2,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.1,5956715
15,1801M2,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0,1931872
16,1801M2,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0.1,2140769
17,1801M2,Triàsic mitjà-superior (Muschelkalk),Calcàries micrítiques i dolomies laminades,0.1,73504
18,1801M3,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0,2658641
19,1801M3,Eocè (Bartonià),"Calcàries bioclàstiques, margues i calcàries",0.1,406116
20,1801M3,Juràssic Inferior,Dolomies massives i bretxes,0.3,2186528
21,1801M3,Juràssic mitjà,Margocalcàries,0,477159
22,1801M3,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0,1927788
23,1801M3,Oligocè,"Conglomerats, calcàries i argiles",0.05,1741463
24,1801M3,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0.15,315927
25,1801M3,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.15,1575380
26,1801M3,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0,266904
27,1801M3,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0.1,528171
28,1801M4,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0,984029
29,1801M4,Juràssic Inferior,Dolomies massives i bretxes,0,933584
30,1801M4,Juràssic mitjà,Margocalcàries,0.15,577436
31,1801M4,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.1,2791136
32,1801M4,Oligocè,"Conglomerats, calcàries i argiles",0.3,8117942
33,1801M4,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0.15,4106
34,1801M4,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.05,93305
35,1801M4,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0,146515
36,1801M4,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0,605153
37,1802M1,Juràssic Inferior,Dolomies massives i bretxes,0,1288400
38,1802M1,Juràssic mitjà,Margocalcàries,0,549430
39,1802M1,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.1,2355592
40,1802M1,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0.3,7580508
41,1802M1,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.15,197220
42,1802M1,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0.15,971931
43,1802M1,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0,18406
44,1802M2,Juràssic Inferior,Dolomies massives i bretxes,0.15,1134555
45,1802M2,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.1,5209241
46,1802M2,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0,4379423
47,1802M2,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.05,2889165
48,1802M2,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0.15,5997583
49,1802M2,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0,986331
50,1802M2,Triàsic inferior - mitjà (Buntsandstein),Gresos i lutites vermelles,0.1,5443916
51,1802M2,Triàsic mitjà-superior (Muschelkalk),Calcàries micrítiques i dolomies laminades,0.3,13353426
52,1802M3,Juràssic Inferior,Dolomies massives i bretxes,0.15,2395748
53,1802M3,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.1,1252749
54,1802M3,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0,129231
55,1802M3,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.1,6682145
56,1802M3,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0.15,2978670
57,1802M3,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0,2094157
58,1802M3,Triàsic mitjà-superior (Muschelkalk),Calcàries micrítiques i dolomies laminades,0.3,19124986
59,1803M3,Juràssic Inferior,Dolomies massives i bretxes,0,305669
60,1803M3,Juràssic mitjà,Margocalcàries,0.15,2495822
61,1803M3,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0,4568782
62,1803M3,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.1,9883640
63,1803M3,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0.3,61277210
64,1803M3,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0,3182416
65,1803M3,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0.15,2306228
66,1803M3,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0,144538
67,1804M1,Juràssic Inferior,Dolomies massives i bretxes,0,598882
68,1804M1,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.1,5736851
69,1804M1,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0.3,20106289
70,1804M1,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0,2713073
71,1804M1,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0.15,4930662
72,1804M1,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0.15,846626
73,1804M2,Juràssic Inferior,Dolomies massives i bretxes,0.3,21030204
74,1804M2,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.1,5489241
75,1804M2,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0.15,12888668
76,1804M2,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.15,861969
77,1804M2,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0,2638803
78,1804M3,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.15,212984
79,1804M3,Juràssic Inferior,Dolomies massives i bretxes,0.15,22798245
80,1804M3,Juràssic mitjà,Margocalcàries,0,749215
81,1804M3,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0,6247802
82,1804M3,Juràssic mitjà-superior - Cretaci,Margues i margocalcàries,0,3672505
83,1804M3,Juràssic superior,Margues,0,4638869
84,1804M3,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.1,1218211
85,1804M3,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0,624737
86,1804M3,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0,3338357
87,1804M3,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0.3,3400575
88,1805M1,Juràssic Inferior,Dolomies massives i bretxes,0,11890
89,1805M1,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0.15,591104
90,1805M1,Juràssic mitjà-superior - Cretaci,Margues i margocalcàries,0,695984
91,1805M1,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.1,5232657
92,1805M1,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0.3,24619921
93,1805M1,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0,4862653
94,1805M1,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0.15,7158464
95,1805M1,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0,184571
96,1805M2,Juràssic Inferior,Dolomies massives i bretxes,0,30196
97,1805M2,Juràssic mitjà,Margocalcàries,0.15,91470
98,1805M2,Juràssic mitjà-superior - Cretaci,Margues i margocalcàries,0,48408
99,1805M2,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.1,1616591
100,1805M2,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0.3,7036752
101,1805M2,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0,627848
102,1805M2,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0.15,4638217
103,1805M2,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0,8188856
104,1805M3,Juràssic Inferior,Dolomies massives i bretxes,0.3,2501931
105,1805M3,Juràssic mitjà-superior - Cretaci,Margues i margocalcàries,0.15,303589
106,1805M3,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.1,4116177
107,1805M3,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0.15,276336
108,1805M3,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0,915008
109,1805M3,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0,9239
110,1806M1,Juràssic Inferior,Dolomies massives i bretxes,0,3166094
111,1806M1,Juràssic mitjà,Margocalcàries,0.05,405940
112,1806M1,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0,585671
113,1806M1,Juràssic mitjà-superior - Cretaci,Margues i margocalcàries,0.1,5996668
114,1806M1,Juràssic superior,Margues,0.15,487596
115,1806M1,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.1,814067
116,1806M1,Oligocè,"Conglomerats, calcàries i argiles",0,868
117,1806M1,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0,1478147
118,1806M1,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0,131289
119,1806M1,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0.15,1735449
120,1806M1,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0,1419270
121,1806M1,Triàsic mitjà-superior (Muschelkalk),Calcàries micrítiques i dolomies laminades,0.3,32219372
122,1806M2,Juràssic Inferior,Dolomies massives i bretxes,0,205568
123,1806M2,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.1,4992319
124,1806M2,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0.35,17407163
125,1806M2,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0,3225551
126,1806M2,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0.15,1206147
127,1806M2,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0.15,1089393
128,1806M3,Juràssic Inferior,Dolomies massives i bretxes,0,2580172
129,1806M3,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0.15,274256
130,1806M3,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.1,84567
131,1806M3,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0.15,1306286
132,1806M3,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0.1,1407248
133,1806M3,Triàsic mitjà-superior (Muschelkalk),Calcàries micrítiques i dolomies laminades,0.3,11031395
134,1806M4,Juràssic Inferior,Dolomies massives i bretxes,0,944695
135,1806M4,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0.15,3274
136,1806M4,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.1,318563
137,1806M4,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0.15,11913968
138,1806M4,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0.1,15207
139,1806M4,Triàsic mitjà-superior (Muschelkalk),Calcàries micrítiques i dolomies laminades,0.3,9503
140,1807M1,Juràssic Inferior,Dolomies massives i bretxes,0,506116
141,1807M1,Juràssic mitjà,Margocalcàries,0,879698
142,1807M1,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0.1,15152987
143,1807M1,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.1,6956344
144,1807M1,Oligocè,"Conglomerats, calcàries i argiles",0,3923140
145,1807M1,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0,150181
146,1807M1,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.15,459276
147,1807M1,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0.15,13505941
148,1807M1,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0.05,2003634
149,1807M1,Triàsic mitjà-superior (Muschelkalk),Calcàries micrítiques i dolomies laminades,0.3,27750506
150,1807M2,Juràssic Inferior,Dolomies massives i bretxes,0.05,2103
151,1807M2,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0.1,7605606
152,1807M2,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.1,2706863
153,1807M2,Oligocè,"Conglomerats, calcàries i argiles",0,9565881
154,1807M2,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0,230986
155,1807M2,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0,1059131
156,1807M2,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0.15,2514276
157,1807M2,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0.15,1908063
158,1807M2,Triàsic mitjà-superior (Muschelkalk),Calcàries micrítiques i dolomies laminades,0.3,10994046
159,1808M1,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.1,1601871
160,1808M1,Juràssic Inferior,Dolomies massives i bretxes,0,12470
161,1808M1,Juràssic mitjà,Margocalcàries,0.05,29471
162,1808M1,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0,1162669
163,1808M1,Juràssic mitjà-superior - Cretaci,Margues i margocalcàries,0.1,5276484
164,1808M1,Oligocè,"Conglomerats, calcàries i argiles",0.3,26866819
165,1808M1,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0,2328053
166,1808M1,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0,389
167,1808M1,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0,55479
168,1808M1,Triàsic mitjà-superior (Muschelkalk),Calcàries micrítiques i dolomies laminades,0.15,10446111
169,1808M2,Juràssic Inferior,Dolomies massives i bretxes,0,31636
170,1808M2,Juràssic mitjà,Margocalcàries,0.05,904971
171,1808M2,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0,369549
172,1808M2,Juràssic mitjà-superior - Cretaci,Margues i margocalcàries,0.1,4463524
173,1808M2,Oligocè,"Conglomerats, calcàries i argiles",0.3,16579320
174,1808M2,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0,2584201
175,1808M2,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0.15,534191
176,1808M2,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0,4238457
177,1809M1,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.15,602705
